Date,Open,High,Low,Close
16/12/2021,"1,605.86","1,614.64","1,614.64","1,614.64"
15/12/2021,"1,571.51","1,605.36","1,605.36","1,605.36"
14/12/2021,"1,577.06","1,572.25","1,572.25","1,572.25"
13/12/2021,"1,564.71","1,579.84","1,579.84","1,579.84"
10/12/2021,"1,554.69","1,565.37","1,565.37","1,565.37"
09/12/2021,"1,555.60","1,559.61","1,559.61","1,559.61"
08/12/2021,"1,546.39","1,555.80","1,555.80","1,555.80"
07/12/2021,"1,527.78","1,544.33","1,544.33","1,544.33"
06/12/2021,"1,515.79","1,525.25","1,525.25","1,525.25"
03/12/2021,"1,516.06","1,517.43","1,517.43","1,517.43"
02/12/2021,"1,506.52","1,513.59","1,513.59","1,513.59"
01/12/2021,"1,509.15","1,507.59","1,507.59","1,507.59"
30/11/2021,"1,537.15","1,510.45","1,510.45","1,510.45"
29/11/2021,"1,537.44","1,540.15","1,540.15","1,540.15"
26/11/2021,"1,545.69","1,534.35","1,534.35","1,534.35"
24/11/2021,"1,541.44","1,541.25","1,541.25","1,541.25"
23/11/2021,"1,537.06","1,541.86","1,541.86","1,541.86"
22/11/2021,"1,547.15","1,540.50","1,540.50","1,540.50"
19/11/2021,"1,560.38","1,547.73","1,547.73","1,547.73"
18/11/2021,"1,558.22","1,557.78","1,557.78","1,557.78"
17/11/2021,"1,554.78","1,556.87","1,556.87","1,556.87"
16/11/2021,"1,547.82","1,554.34","1,554.34","1,554.34"
15/11/2021,"1,558.72","1,548.39","1,548.39","1,548.39"
12/11/2021,"1,552.92","1,558.37","1,558.37","1,558.37"
11/11/2021,"1,555.64","1,551.77","1,551.77","1,551.77"
10/11/2021,"1,550.28","1,555.36","1,555.36","1,555.36"
09/11/2021,"1,557.80","1,551.27","1,551.27","1,551.27"
08/11/2021,"1,548.84","1,557.10","1,557.10","1,557.10"
05/11/2021,"1,563.85","1,548.87","1,548.87","1,548.87"
04/11/2021,"1,571.54","1,564.98","1,564.98","1,564.98"
03/11/2021,"1,565.88","1,576.90","1,576.90","1,576.90"
02/11/2021,"1,561.01","1,566.99","1,566.99","1,566.99"
01/11/2021,"1,559.58","1,557.20","1,557.20","1,557.20"
29/10/2021,"1,542.82","1,559.32","1,559.32","1,559.32"
28/10/2021,"1,530.62","1,544.66","1,544.66","1,544.66"
27/10/2021,"1,544.80","1,531.46","1,531.46","1,531.46"
26/10/2021,"1,538.66","1,544.00","1,544.00","1,544.00"
25/10/2021,"1,534.76","1,535.83","1,535.83","1,535.83"
22/10/2021,"1,528.02","1,534.41","1,534.41","1,534.41"
21/10/2021,"1,522.48","1,528.68","1,528.68","1,528.68"
20/10/2021,"1,503.26","1,521.99","1,521.99","1,521.99"
19/10/2021,"1,484.57","1,500.23","1,500.23","1,500.23"
18/10/2021,"1,490.66","1,480.83","1,480.83","1,480.83"
15/10/2021,"1,486.08","1,491.56","1,491.56","1,491.56"
14/10/2021,"1,465.96","1,484.19","1,484.19","1,484.19"
13/10/2021,"1,463.00","1,463.28","1,463.28","1,463.28"
12/10/2021,"1,470.69","1,462.02","1,462.02","1,462.02"
11/10/2021,"1,478.43","1,468.99","1,468.99","1,468.99"
08/10/2021,"1,488.55","1,480.10","1,480.10","1,480.10"
07/10/2021,"1,470.03","1,487.16","1,487.16","1,487.16"
06/10/2021,"1,468.53","1,469.07","1,469.07","1,469.07"
05/10/2021,"1,465.40","1,471.37","1,471.37","1,471.37"
04/10/2021,"1,481.91","1,462.89","1,462.89","1,462.89"
01/10/2021,"1,481.17","1,485.00","1,485.00","1,485.00"
30/09/2021,"1,506.16","1,483.99","1,483.99","1,483.99"
29/09/2021,"1,493.60","1,503.25","1,503.25","1,503.25"
28/09/2021,"1,514.41","1,491.77","1,491.77","1,491.77"
27/09/2021,"1,537.23","1,517.58","1,517.58","1,517.58"
24/09/2021,"1,545.15","1,539.56","1,539.56","1,539.56"
23/09/2021,"1,534.79","1,546.09","1,546.09","1,546.09"
22/09/2021,"1,534.12","1,534.22","1,534.22","1,534.22"
21/09/2021,"1,533.69","1,532.87","1,532.87","1,532.87"
20/09/2021,"1,542.73","1,530.65","1,530.65","1,530.65"
17/09/2021,"1,544.34","1,545.73","1,545.73","1,545.73"
16/09/2021,"1,549.11","1,544.60","1,544.60","1,544.60"
15/09/2021,"1,536.98","1,548.43","1,548.43","1,548.43"
14/09/2021,"1,541.66","1,537.91","1,537.91","1,537.91"
13/09/2021,"1,550.27","1,539.73","1,539.73","1,539.73"
10/09/2021,"1,565.77","1,549.18","1,549.18","1,549.18"
09/09/2021,"1,582.63","1,563.83","1,563.83","1,563.83"
08/09/2021,"1,583.04","1,582.35","1,582.35","1,582.35"
07/09/2021,"1,590.87","1,583.58","1,583.58","1,583.58"
03/09/2021,"1,590.67","1,592.61","1,592.61","1,592.61"
02/09/2021,"1,577.38","1,590.92","1,590.92","1,590.92"
01/09/2021,"1,573.93","1,573.95","1,573.95","1,573.95"
31/08/2021,"1,575.94","1,573.61","1,573.61","1,573.61"
30/08/2021,"1,563.96","1,575.60","1,575.60","1,575.60"
27/08/2021,"1,569.72","1,566.06","1,566.06","1,566.06"
26/08/2021,"1,574.77","1,568.63","1,568.63","1,568.63"
25/08/2021,"1,578.44","1,574.93","1,574.93","1,574.93"
24/08/2021,"1,583.81","1,578.96","1,578.96","1,578.96"
